,<bytes_Nigga_Deep>,<traf_Nigga_Deep>,bratio_Brotha_Lynch_Hung,bratio_Dead_4_Life,bratio_If_These_Walls_Could_Talk_(album),bratio_Loaded_(Brotha_Lynch_Hung_album),bratio_Sicx,traf_Brotha_Lynch_Hung,traf_Dead_4_Life,traf_If_These_Walls_Could_Talk_(album),traf_Loaded_(Brotha_Lynch_Hung_album),traf_Sicx
2008/10/01/02,20459,4,11.51263502614986,0.3508969157827851,0.3533408279974583,0.6368835231438487,3.6430421819248253,40,1,1,2,7
2008/10/01/04,25305,2,17.18743331357439,0.567397747480735,0.28567476783244417,1.5017585457419482,1.6588421260620432,39,2,1,4,6
2008/10/01/05,19992,3,16.017106842737096,0.7275910364145658,0.36159463785514206,2.3045218087234893,1.707783113245298,50,2,1,8,6
2008/10/01/06,13323,2,11.89859641221947,1.0776852060346769,0.5425955115214292,0.9780079561660286,3.2374840501388578,23,2,1,2,8
2008/10/02/02,13798,3,15.372082910566748,0.5540658066386432,0.5239165096390781,0.47224235396434266,1.304464415132628,46,2,1,1,5
2008/10/02/06,19990,3,12.890845422711356,0.35907953976988494,1.0461230615307653,0.3488744372186093,1.2454727363681841,27,1,1,2,3
2008/10/02/19,19995,3,21.3551887971993,0.359039759939985,1.0846211552888223,1.0010502625656414,5.504776194048512,69,1,3,4,16
2008/10/02/23,13330,2,31.10675168792198,0.5385596399099775,0.5423105776444112,0.9776444111027757,5.042235558889723,54,1,1,2,7
2008/10/03/01,6665,1,37.05926481620405,4.317179294823706,5.474118529632408,2.932933233308327,11.896474118529632,43,4,5,3,16
2008/10/03/04,6665,1,39.832108027006754,1.077119279819955,1.0847711927981996,2.932933233308327,8.855813953488372,44,1,1,3,9
2008/10/03/05,50634,4,11.818284156890627,0.40455030216850335,0.41312161788521545,0.49300865031401825,2.6187739463601534,38,1,1,2,9
2008/10/03/10,6665,1,2.8589647411852965,5.255063765941485,1.0847711927981996,1.9552888222055513,1.245311327831958,4,3,1,2,1
2008/10/03/18,6665,1,58.29617404351088,3.0733683420855216,3.138484621155289,1.9848462115528882,12.479819954988747,37,1,1,2,5
2008/10/03/20,6665,1,59.177644411102776,1.077119279819955,2.1953488372093024,2.028507126781695,7.447111777944486,31,1,2,3,4
2008/10/03/22,6652,1,42.53472639807577,1.356885147324113,1.2247444377630787,1.9603126879134094,3.741431148526759,23,3,2,2,3
2008/10/04/07,13793,3,10.896614224606685,0.5186688900166752,0.5299064742985572,0.4732110490828681,1.8054810411078084,21,1,1,1,3
2008/10/04/17,6663,1,18.665015758667266,2.15038271049077,1.0984541497823803,0.979588773825604,4.983340837460603,27,2,1,1,4
2008/10/05/00,6663,1,33.28395617589674,1.075191355245385,1.0984541497823803,2.936515083295813,16.323427885336937,30,1,1,3,10
2008/10/05/04,13323,2,14.391653531486902,0.5622607520828642,1.0987014936575847,0.9795841777377468,2.4920813630563687,24,2,2,2,4
2008/10/05/20,20204,3,7.065531577905365,0.3566620471193823,0.36438329043753714,1.3373094436745199,2.056176994654524,25,1,1,5,5
2008/10/05/23,32159,3,11.6473149040704,0.45175534065113965,0.46127056189558135,0.2029602910538263,1.5838490002798595,47,2,2,1,8
2008/10/06/05,13328,2,18.85421668667467,0.0350390156062425,1.100390156062425,0.4897208883553421,5.661239495798319,34,1,2,1,9
2008/10/06/10,6882,2,16.3837547224644,2.1172624237140365,1.0977913397268235,1.896832316187155,3.901336820691659,14,2,1,2,6
2008/10/06/14,18833,1,7.40997185790899,3.280412042691021,1.1711357723145543,0.35639568841926406,0.8814846280465141,10,3,1,1,2
2008/10/06/15,6664,1,12.39765906362545,4.176620648259304,4.436074429771908,0.9794417767106842,3.793217286914766,7,2,2,1,3
2008/10/06/19,6664,1,25.3343337334934,1.0768307322929171,3.2794117647058822,1.0846338535414166,9.937575030012004,27,1,1,2,6
2008/10/07/04,13796,3,20.159176572919687,0.5202232531168455,0.5316033632937083,1.4534647723977965,4.198463322702232,35,1,1,4,5
2008/10/07/18,7132,2,53.4165731912507,1.0068704430734716,2.0780987100392596,0.9810712282669658,5.899887829500841,24,1,2,2,5
2008/10/08/04,13328,2,20.160114045618247,0.5387905162064826,0.549594837935174,2.4014105642256904,3.135879351740696,31,1,1,3,4
2008/10/08/07,21864,7,6.852451518477863,0.6782381997804611,0.6700512257592389,0.8962678375411636,2.3556073911452615,41,3,2,3,8
2008/10/08/19,13508,2,14.335726976606455,0.5308705952028427,0.5422712466686408,1.464021320698845,1.8442404501036422,20,1,1,3,3
2008/10/09/00,31986,3,7.71593822297255,0.8701306821734509,0.4579503532795598,0.4084912149065216,1.5747827174388795,28,2,2,2,4
2008/10/09/15,6849,1,25.648415827128048,1.0753394656154183,1.0959264126149804,0.9538618776463718,3.7660972404730617,12,1,1,1,4
2008/10/09/17,20455,4,13.978880469322904,0.34827670496211194,0.3791737961378636,1.6147152285504767,2.116499633341481,26,1,2,5,8
2008/10/10/00,6664,1,34.548469387755105,3.245498199279712,1.219387755102041,1.007202881152461,7.574279711884754,25,3,2,1,7
2008/10/10/03,6664,1,30.37935174069628,1.0705282112845138,1.0957382953181272,0.9803421368547419,6.4411764705882355,21,1,1,1,8
2008/10/10/07,34639,7,1.3505297497040907,0.4119056554750426,0.4216057045526718,0.013510782643840757,0.5064811339819278,8,2,2,1,4
2008/10/10/17,7070,2,27.27100424328147,1.0421499292786423,1.0616690240452618,2.557142857142857,11.715558698727015,19,1,1,1,8
2008/10/10/18,24773,2,11.584426593468695,2.7314011221894803,1.4817341460460987,0.5394179146651596,4.407177168691721,34,4,4,3,11
2008/10/10/23,6596,1,19.31958762886598,8.318677986658582,3.277895694360218,3.722862340812614,6.294724075197089,13,4,1,2,5
2008/10/11/03,14968,4,35.456574024585784,0.4792223409941208,1.9333912346338855,4.655999465526456,4.384152859433458,34,1,2,9,4
2008/10/11/09,6745,1,16.217494440326167,1.091475166790215,1.1123795404002965,1.9519644180874722,3.7205337286879168,10,1,1,2,3
2008/10/11/17,6564,1,21.040676416819014,2.32205971968312,1.143053016453382,1.079981718464351,6.595978062157221,18,3,1,2,8
2008/10/11/18,32820,5,3.9469530773918344,0.23254113345521024,0.2225167580743449,0.9974710542352224,2.011639244363193,20,2,1,6,6
2008/10/11/20,19877,3,10.203954319062232,0.8600392413342054,0.40116717814559544,0.3506565377068974,2.9431000654022235,25,7,2,2,7
2008/10/12/01,6565,1,37.96725057121097,2.1833968012185836,1.1124143183549124,0.9832444782939832,7.660624523990861,36,2,1,1,7
2008/10/12/03,13782,3,16.60978087360325,1.0544188071397476,0.5638514003773037,1.5069656073138877,8.530692207226817,36,2,2,6,13
2008/10/12/06,13130,2,10.385300837776086,0.5458492003046459,0.5562071591774562,1.5461538461538462,3.197867479055598,33,1,1,5,6
